Gene	M	P.SKAT
2001	HDDC2	1	NA
2002	SAMD3	1	NA
2003	MED23	1	NA
2004	ENPP3	1	NA
2005	OR2A4	1	NA
2006	MOXD1	1	NA
2007	TAAR5	1	NA
2008	VNN2	1	NA
2009	HBS1L	1	NA
2010	BCLAF1	1	NA
2011	MAP7	1	NA
2012	IL20RA	1	NA
2013	PBOV1	1	NA
2014	NHSL1	1	NA
2015	TXLNB	1	NA
2016	NMBR	1	NA
2017	GJE1	1	NA
2018	GPR126	1	NA
2019	PEX3	1	NA
2020	PHACTR2	1	NA
2021	UTRN	1	NA
2022	ADGB	1	NA
2023	SUMO4	1	NA
2024	PLEKHG1	1	NA
2025	MYCT1	1	NA
2026	VIP	1	NA
2027	IPCEF1	1	NA
2028	TIAM2	1	NA
2029	TFB1M	1	NA
2030	NOX3	1	NA
2031	SYNJ2	1	NA
2032	SYTL3	1	NA
2033	FNDC1	1	NA
2034	MAS1	1	NA
2035	SLC22A1	1	NA
2036	PLG	1	NA
2037	C6orf118	1	NA
2038	GPR31	1	NA
2039	TTLL2	1	NA
2040	ERMARD	1	NA
2041	TBP	1	NA
2042	HEATR2	1	NA
2043	C7orf50	1	NA
2044	NUDT1	1	NA
2045	AC091801.1	1	NA
2046	MMD2	1	NA
2047	OCM	1	NA
2048	GRID2IP	1	NA
2049	ZNF12	1	NA
2050	RSPH10B2	1	NA
2051	COL28A1	1	NA
2052	SCIN	1	NA
2053	SOSTDC1	1	NA
2054	LRRC72	1	NA
2055	PRPS1L1	1	NA
2056	TWISTNB	1	NA
2057	GPNMB	1	NA
2058	STK31	1	NA
2059	DFNA5	1	NA
2060	NPVF	1	NA
2061	NFE2L3	1	NA
2062	HOXA3	1	NA
2063	TAX1BP1	1	NA
2064	FKBP14	1	NA
2065	NOD1	1	NA
2066	GARS	1	NA
2067	CRHR2	1	NA
2068	INMT	1	NA
2069	AVL9	1	NA
2070	RP9	1	NA
2071	BBS9	1	NA
2072	PP13004	1	NA
2073	TRGC1	1	NA
2074	TRGV11	1	NA
2075	TRGV5	1	NA
2076	MRPL32	1	NA
2077	SPDYE1	1	NA
2078	POLM	1	NA
2079	AEBP1	1	NA
2080	DDX56	1	NA
2081	NACAD	1	NA
2082	AC011294.3	1	NA
2083	ABCA13	1	NA
2084	C7orf72	1	NA
2085	COBL	1	NA
2086	GBAS	1	NA
2087	ZNF716	1	NA
2088	ZNF107	1	NA
2089	ZNF117	1	NA
2090	TYW1B	1	NA
2091	ABHD11	1	NA
2092	LIMK1	1	NA
2093	GTF2IRD2	1	NA
2094	PMS2P5	1	NA
2095	CCL26	1	NA
2096	MDH2	1	NA
2097	SRCRB4D	1	NA
2098	DTX2	1	NA
2099	GNAT3	1	NA
2100	STEAP4	1	NA
2101	STEAP2	1	NA
2102	C7orf63	1	NA
2103	CDK14	1	NA
2104	MTERF	1	NA
2105	LRRD1	1	NA
2106	KRIT1	1	NA
2107	PEX1	1	NA
2108	FAM133B	1	NA
2109	SAMD9L	1	NA
2110	HEPACAM2	1	NA
2111	CALCR	1	NA
2112	SGCE	1	NA
2113	PPP1R9A	1	NA
2114	PON1	1	NA
2115	PON3	1	NA
2116	SLC25A13	1	NA
2117	TRRAP	1	NA
2118	KPNA7	1	NA
2119	ZNF789	1	NA
2120	FAM200A	1	NA
2121	ZNF655	1	NA
2122	GS1-259H13.2	1	NA
2123	CYP3A4	1	NA
2124	CYP3A43	1	NA
2125	TRIM4	1	NA
2126	ZNF3	1	NA
2127	MCM7	1	NA
2128	AP4M1	1	NA
2129	TAF6	1	NA
2130	AGFG2	1	NA
2131	FBXO24	1	NA
2132	MUC12	1	NA
2133	COL26A1	1	NA
2134	MYL10	1	NA
2135	SH2B2	1	NA
2136	PRKRIP1	1	NA
2137	RP11-514P8.7	1	NA
2138	RASA4	1	NA
2139	FBXL13	1	NA
2140	NAPEPLD	1	NA
2141	DPY19L2P2	1	NA
2142	SLC26A5	1	NA
2143	HBP1	1	NA
2144	BCAP29	1	NA
2145	LAMB1	1	NA
2146	IFRD1	1	NA
2147	PPP1R3A	1	NA
2148	TES	1	NA
2149	ASZ1	1	NA
2150	CFTR	1	NA
2151	CTTNBP2	1	NA
2152	CPED1	1	NA
2153	AASS	1	NA
2154	IQUB	1	NA
2155	NDUFA5	1	NA
2156	LMOD2	1	NA
2157	HYAL4	1	NA
2158	TMEM229A	1	NA
2159	KCP	1	NA
2160	TMEM209	1	NA
2161	CPA4	1	NA
2162	CPA5	1	NA
2163	CEP41	1	NA
2164	AC009365.3	1	NA
2165	EXOC4	1	NA
2166	AGBL3	1	NA
2167	SLC13A4	1	NA
2168	DGKI	1	NA
2169	SVOPL	1	NA
2170	KIAA1549	1	NA
2171	C7orf55-LUC7L2	1	NA
2172	TBXAS1	1	NA
2173	SLC37A3	1	NA
2174	ADCK2	1	NA
2175	TAS2R3	1	NA
2176	TAS2R4	1	NA
2177	TRBV6-8	1	NA
2178	TRBV6-6	1	NA
2179	TRBV10-2	1	NA
2180	TRBV6-4	1	NA
2181	TRBV29-1	1	NA
2182	TRBV30	1	NA
2183	OR6V1	1	NA
2184	GSTK1	1	NA
2185	CLCN1	1	NA
2186	CTAGE6	1	NA
2187	OR2A14	1	NA
2188	CTAGE4	1	NA
2189	OR2A7	1	NA
2190	OR2A1	1	NA
2191	C7orf33	1	NA
2192	GIMAP7	1	NA
2193	GIMAP2	1	NA
2194	GIMAP5	1	NA
2195	KCNH2	1	NA
2196	ASIC3	1	NA
2197	CHPF2	1	NA
2198	CRYGN	1	NA
2199	GALNTL5	1	NA
2200	CNPY1	1	NA
2201	NOM1	1	NA
2202	UBE3C	1	NA
2203	CLN8	1	NA
2204	MCPH1	1	NA
2205	DEFB1	1	NA
2206	DEFA6	1	NA
2207	SPAG11B	1	NA
2208	MFHAS1	1	NA
2209	SLC35G5	1	NA
2210	DLC1	1	NA
2211	SLC7A2	1	NA
2212	MTUS1	1	NA
2213	PCM1	1	NA
2214	NAT1	1	NA
2215	SH2D4A	1	NA
2216	LPL	1	NA
2217	FAM160B2	1	NA
2218	PEBP4	1	NA
2219	TNFRSF10B	1	NA
2220	TNFRSF10C	1	NA
2221	TNFRSF10A	1	NA
2222	R3HCC1	1	NA
2223	ADAM28	1	NA
2224	ADAMDEC1	1	NA
2225	GNRH1	1	NA
2226	ADRA1A	1	NA
2227	SCARA5	1	NA
2228	NUGGC	1	NA
2229	INTS9	1	NA
2230	KIF13B	1	NA
2231	RBPMS	1	NA
2232	KCNU1	1	NA
2233	GOT1L1	1	NA
2234	BAG4	1	NA
2235	LETM2	1	NA
2236	ADAM9	1	NA
2237	ADAM32	1	NA
2238	ANK1	1	NA
2239	CHRNB3	1	NA
2240	POTEA	1	NA
2241	SPIDR	1	NA
2242	PRKDC	1	NA
2243	EFCAB1	1	NA
2244	OPRK1	1	NA
2245	RGS20	1	NA
2246	PENK	1	NA
2247	NSMAF	1	NA
2248	YTHDF3	1	NA
2249	ADHFE1	1	NA
2250	C8orf44	1	NA
2251	MCMDC2	1	NA
2252	CSPP1	1	NA
2253	C8orf34	1	NA
2254	UBE2W	1	NA
2255	ZFHX4	1	NA
2256	FABP5	1	NA
2257	ZFAND1	1	NA
2258	CHMP4C	1	NA
2259	REXO1L1P	1	NA
2260	PSKH2	1	NA
2261	ATP6V0D2	1	NA
2262	CNBD1	1	NA
2263	DCAF4L2	1	NA
2264	OSGIN2	1	NA
2265	OTUD6B	1	NA
2266	LRRC69	1	NA
2267	GEM	1	NA
2268	RAD54B	1	NA
2269	DPY19L4	1	NA
2270	MTERFD1	1	NA
2271	MATN2	1	NA
2272	HRSP12	1	NA
2273	NIPAL2	1	NA
2274	STK3	1	NA
2275	SNX31	1	NA
2276	RRM2B	1	NA
2277	C8orf56	1	NA
2278	BAALC	1	NA
2279	FZD6	1	NA
2280	DPYS	1	NA
2281	CSMD3	1	NA
2282	SLC30A8	1	NA
2283	MAL2	1	NA
2284	TAF2	1	NA
2285	MTBP	1	NA
2286	SNTB1	1	NA
2287	FAM83A	1	NA
2288	KLHL38	1	NA
2289	NDUFB9	1	NA
2290	KIAA0196	1	NA
2291	NSMCE2	1	NA
2292	GSDMC	1	NA
2293	EFR3A	1	NA
2294	TRAPPC9	1	NA
2295	RP11-10J21.3	1	NA
2296	MROH5	1	NA
2297	TSNARE1	1	NA
2298	TOP1MT	1	NA
2299	ZNF623	1	NA
2300	CCDC166	1	NA
2301	FAM83H	1	NA
2302	EPPK1	1	NA
2303	SPATC1	1	NA
2304	DGAT1	1	NA
2305	CPSF1	1	NA
2306	SLC39A4	1	NA
2307	PPP1R16A	1	NA
2308	GPT	1	NA
2309	ZNF34	1	NA
2310	ZNF7	1	NA
2311	DOCK8	1	NA
2312	KIAA0020	1	NA
2313	PDCD1LG2	1	NA
2314	ERMP1	1	NA
2315	TPD52L3	1	NA
2316	GLDC	1	NA
2317	PTPRD	1	NA
2318	PSIP1	1	NA
2319	FAM154A	1	NA
2320	FOCAD	1	NA
2321	PTPLAD2	1	NA
2322	IFNB1	1	NA
2323	IFNA17	1	NA
2324	IFNA5	1	NA
2325	IFNE	1	NA
2326	IZUMO3	1	NA
2327	LRRC19	1	NA
2328	TEK	1	NA
2329	IFNK	1	NA
2330	DDX58	1	NA
2331	TMEM215	1	NA
2332	B4GALT1	1	NA
2333	AQP7	1	NA
2334	TRBV20OR9-2	1	NA
2335	TRBV21OR9-2	1	NA
2336	NUDT2	1	NA
2337	FAM205B	1	NA
2338	C9orf131	1	NA
2339	UNC13B	1	NA
2340	HINT2	1	NA
2341	HRCT1	1	NA
2342	MELK	1	NA
2343	ZBTB5	1	NA
2344	FBXO10	1	NA
2345	SPATA31A1	1	NA
2346	CNTNAP3B	1	NA
2347	RP11-160N1.10	1	NA
2348	RP11-195B21.3	1	NA
2349	CBWD3	1	NA
2350	TMEM252	1	NA
2351	TRPM3	1	NA
2352	C9orf57	1	NA
2353	TRPM6	1	NA
2354	GCNT1	1	NA
2355	PRUNE2	1	NA
2356	SPATA31D1	1	NA
2357	C9orf170	1	NA
2358	NXNL2	1	NA
2359	SECISBP2	1	NA
2360	SEMA4D	1	NA
2361	ECM2	1	NA
2362	IPPK	1	NA
2363	ZNF169	1	NA
2364	ERCC6L2	1	NA
2365	ZNF510	1	NA
2366	NUTM2G	1	NA
2367	CTSV	1	NA
2368	CCDC180	1	NA
2369	C9orf156	1	NA
2370	HEMGN	1	NA
2371	GALNT12	1	NA
2372	PPP3R2	1	NA
2373	GRIN3A	1	NA
2374	OR13C5	1	NA
2375	OR13C2	1	NA
2376	EPB41L4B	1	NA
2377	C9orf152	1	NA
2378	PTGR1	1	NA
2379	HSDL2	1	NA
2380	WDR31	1	NA
2381	CDK5RAP2	1	NA
2382	C5	1	NA
2383	PTGS1	1	NA
2384	OR1B1	1	NA
2385	PDCL	1	NA
2386	ARPC5L	1	NA
2387	GOLGA1	1	NA
2388	GARNL3	1	NA
2389	SLC2A8	1	NA
2390	C9orf117	1	NA
2391	TOR2A	1	NA
2392	DNM1	1	NA
2393	TRUB2	1	NA
2394	ENDOG	1	NA
2395	DOLK	1	NA
2396	NUP188	1	NA
2397	AL354898.1	1	NA
2398	PRRC2B	1	NA
2399	C9orf171	1	NA
2400	GTF3C4	1	NA
2401	SURF2	1	NA
2402	DBH	1	NA
2403	SARDH	1	NA
2404	C9orf116	1	NA
2405	SOHLH1	1	NA
2406	CARD9	1	NA
2407	SDCCAG3	1	NA
2408	LCN10	1	NA
2409	LCN6	1	NA
2410	MAN1B1	1	NA
2411	NDOR1	1	NA
2412	FAM166A	1	NA
2413	AL359878.1	1	NA
2414	AKR1E2	1	NA
2415	AKR1C2	1	NA
2416	AKR1C3	1	NA
2417	AKR1CL1	1	NA
2418	ANKRD16	1	NA
2419	ITIH5	1	NA
2420	ITIH2	1	NA
2421	ECHDC3	1	NA
2422	DHTKD1	1	NA
2423	MCM10	1	NA
2424	ACBD7	1	NA
2425	CUBN	1	NA
2426	SLC39A12	1	NA
2427	MALRD1	1	NA
2428	C10orf113	1	NA
2429	SPAG6	1	NA
2430	ENKUR	1	NA
2431	YME1L1	1	NA
2432	ZNF438	1	NA
2433	ZNF37A	1	NA
2434	LINC00619	1	NA
2435	OR13A1	1	NA
2436	GPRIN2	1	NA
2437	PTPN20B	1	NA
2438	C10orf128	1	NA
2439	C10orf71	1	NA
2440	ERCC6	1	NA
2441	FAM21A	1	NA
2442	ASAH2	1	NA
2443	MBL2	1	NA
2444	PCDH15	1	NA
2445	TMEM26	1	NA
2446	C10orf107	1	NA
2447	RTKN2	1	NA
2448	JMJD1C	1	NA
2449	DNA2	1	NA
2450	CCAR1	1	NA
2451	HK1	1	NA
2452	TACR2	1	NA
2453	COL13A1	1	NA
2454	NPFFR1	1	NA
2455	EIF4EBP2	1	NA
2456	PALD1	1	NA
2457	ADAMTS14	1	NA
2458	TBATA	1	NA
2459	SLC29A3	1	NA
2460	ASCC1	1	NA
2461	MCU	1	NA
2462	OIT3	1	NA
2463	NUDT13	1	NA
2464	FAM149B1	1	NA
2465	USP54	1	NA
2466	AGAP5	1	NA
2467	FUT11	1	NA
2468	ZSWIM8	1	NA
2469	NUTM2B	1	NA
2470	WAPAL	1	NA
2471	OPN4	1	NA
2472	MMRN2	1	NA
2473	LIPK	1	NA
2474	LIPN	1	NA
2475	IFIT3	1	NA
2476	IFIT1	1	NA
2477	RPP30	1	NA
2478	SLC35G1	1	NA
2479	CYP2C18	1	NA
2480	CYP2C8	1	NA
2481	C10orf129	1	NA
2482	CC2D2B	1	NA
2483	DNTT	1	NA
2484	TLL2	1	NA
2485	EXOSC1	1	NA
2486	R3HCC1L	1	NA
2487	LOXL4	1	NA
2488	PYROXD2	1	NA
2489	HPSE2	1	NA
2490	COX15	1	NA
2491	CPN1	1	NA
2492	BLOC1S2	1	NA
2493	WNT8B	1	NA
2494	SEC31B	1	NA
2495	FAM178A	1	NA
2496	SEMA4G	1	NA
2497	TLX1NB	1	NA
2498	FBXW4	1	NA
2499	C10orf76	1	NA
2500	SFXN2	1	NA
2501	RPEL1	1	NA
2502	USMG5	1	NA
2503	CALHM2	1	NA
2504	CALHM1	1	NA
2505	NEURL1	1	NA
2506	DUSP5	1	NA
2507	PDCD4	1	NA
2508	BBIP1	1	NA
2509	HABP2	1	NA
2510	NRAP	1	NA
2511	ABLIM1	1	NA
2512	PNLIPRP3	1	NA
2513	KCNK18	1	NA
2514	PRDX3	1	NA
2515	INPP5F	1	NA
2516	SEC23IP	1	NA
2517	ARMS2	1	NA
2518	ACADSB	1	NA
2519	CPXM2	1	NA
2520	FANK1	1	NA
2521	JAKMIP3	1	NA
2522	STK32C	1	NA
2523	GPR123	1	NA
2524	NLRP6	1	NA
2525	SIGIRR	1	NA
2526	PHRF1	1	NA
2527	DRD4	1	NA
2528	CHID1	1	NA
2529	TNNT3	1	NA
2530	IGF2	1	NA
2531	NAP1L4	1	NA
2532	ART1	1	NA
2533	OR52B4	1	NA
2534	OR52K1	1	NA
2535	OR51E1	1	NA
2536	OR52R1	1	NA
2537	OR51T1	1	NA
2538	OR52J3	1	NA
2539	OR52A1	1	NA
2540	HBD	1	NA
2541	HBE1	1	NA
2542	OR51B5	1	NA
2543	OR51I1	1	NA
2544	UBQLN3	1	NA
2545	OR52H1	1	NA
2546	TRIM6	1	NA
2547	OR56B1	1	NA
2548	OR52N4	1	NA
2549	OR52N1	1	NA
2550	OR52N2	1	NA
2551	OR52E6	1	NA
2552	OR52E4	1	NA
2553	OR56A3	1	NA
2554	OR52L1	1	NA
2555	OR56B3P	1	NA
2556	SMPD1	1	NA
2557	OR2D2	1	NA
2558	OR2D3	1	NA
2559	ZNF215	1	NA
2560	SYT9	1	NA
2561	PPFIBP2	1	NA
2562	OVCH2	1	NA
2563	OR10A6	1	NA
2564	TUB	1	NA
2565	C11orf16	1	NA
2566	ASCL3	1	NA
2567	SCUBE2	1	NA
2568	LYVE1	1	NA
2569	MICAL2	1	NA
2570	INSC	1	NA
2571	SOX6	1	NA
2572	NCR3LG1	1	NA
2573	SERGEF	1	NA
2574	SAAL1	1	NA
2575	MRGPRX3	1	NA
2576	RP11-113D6.6	1	NA
2577	RP11-113D6.10	1	NA
2578	SAA1	1	NA
2579	LDHA	1	NA
2580	LDHAL6A	1	NA
2581	UEVLD	1	NA
2582	PTPN5	1	NA
2583	MUC15	1	NA
2584	BBOX1	1	NA
2585	BDNF	1	NA
2586	APIP	1	NA
2587	TRIM44	1	NA
2588	COMMD9	1	NA
2589	PRR5L	1	NA
2590	HSD17B12	1	NA
2591	ALKBH3	1	NA
2592	EXT2	1	NA
2593	C11orf94	1	NA
2594	CREB3L1	1	NA
2595	HARBI1	1	NA
2596	MADD	1	NA
2597	RAPSN	1	NA
2598	PTPMT1	1	NA
2599	AGBL2	1	NA
2600	OR4B1	1	NA
2601	OR4X2	1	NA
2602	OR4S1	1	NA
2603	OR4C3	1	NA
2604	OR4A16	1	NA
2605	OR4C15	1	NA
2606	OR4C16	1	NA
2607	OR4P4	1	NA
2608	TRIM51	1	NA
2609	OR5W2	1	NA
2610	OR5T2	1	NA
2611	OR8J1	1	NA
2612	OR8U1	1	NA
2613	OR5M11	1	NA
2614	OR5M10	1	NA
2615	OR5M1	1	NA
2616	OR5AR1	1	NA
2617	OR5AK2	1	NA
2618	LRRC55	1	NA
2619	PRG2	1	NA
2620	UBE2L6	1	NA
2621	OR6Q1	1	NA
2622	OR1S1	1	NA
2623	OR5B3	1	NA
2624	OR5B12	1	NA
2625	ZFP91	1	NA
2626	GLYATL1	1	NA
2627	FAM111B	1	NA
2628	FAM111A	1	NA
2629	OR4D6	1	NA
2630	OR4D10	1	NA
2631	OR4D11	1	NA
2632	OR4D9	1	NA
2633	TCN1	1	NA
2634	OOSP2	1	NA
2635	MS4A4A	1	NA
2636	MS4A5	1	NA
2637	MS4A12	1	NA
2638	MS4A8	1	NA
2639	CCDC86	1	NA
2640	TMEM216	1	NA
2641	PPP1R32	1	NA
2642	SCGB1A1	1	NA
2643	TUT1	1	NA
2644	METTL12	1	NA
2645	WDR74	1	NA
2646	SLC3A2	1	NA
2647	NAA40	1	NA
2648	TRPT1	1	NA
2649	SLC22A11	1	NA
2650	RASGRP2	1	NA
2651	MAP4K2	1	NA
2652	TIGD3	1	NA
2653	SLC25A45	1	NA
2654	DRAP1	1	NA
2655	EIF1AD	1	NA
2656	SLC29A2	1	NA
2657	BBS1	1	NA
2658	CCDC87	1	NA
2659	RBM4	1	NA
2660	RCE1	1	NA
2661	GPR152	1	NA
2662	TMEM134	1	NA
2663	CABP2	1	NA
2664	ALDH3B1	1	NA
2665	TCIRG1	1	NA
2666	IGHMBP2	1	NA
2667	FGF4	1	NA
2668	CTTN	1	NA
2669	DHCR7	1	NA
2670	RP11-849H4.2	1	NA
2671	NUMA1	1	NA
2672	LAMTOR1	1	NA
2673	P2RY2	1	NA
2674	RELT	1	NA
2675	COA4	1	NA
2676	XRRA1	1	NA
2677	SLCO2B1	1	NA
2678	KCTD21	1	NA
2679	PRCP	1	NA
2680	FOLH1B	1	NA
2681	TRIM77	1	NA
2682	TRIM64B	1	NA
2683	CCDC67	1	NA
2684	TAF1D	1	NA
2685	C11orf54	1	NA
2686	HEPHL1	1	NA
2687	PIWIL4	1	NA
2688	SRSF8	1	NA
2689	ENDOD1	1	NA
2690	CCDC82	1	NA
2691	CNTN5	1	NA
2692	TRPC6	1	NA
2693	MMP20	1	NA
2694	MMP27	1	NA
2695	MMP8	1	NA
2696	MMP3	1	NA
2697	DYNC2H1	1	NA
2698	CARD16	1	NA
2699	CWF19L2	1	NA
2700	NPAT	1	NA
2701	EXPH5	1	NA
2702	RDX	1	NA
2703	C11orf53	1	NA
2704	RP11-794P6.2	1	NA
2705	PPP2R1B	1	NA
2706	FDXACB1	1	NA
2707	C11orf1	1	NA
2708	DLAT	1	NA
2709	BCO2	1	NA
2710	PLET1	1	NA
2711	NXPE2	1	NA
2712	ZNF259	1	NA
2713	PCSK7	1	NA
2714	BACE1	1	NA
2715	TMPRSS4	1	NA
2716	AMICA1	1	NA
2717	MPZL3	1	NA
2718	MPZL2	1	NA
2719	CCDC84	1	NA
2720	VPS11	1	NA
2721	HINFP	1	NA
2722	ABCG4	1	NA
2723	NLRX1	1	NA
2724	CCDC153	1	NA
2725	MCAM	1	NA
2726	C1QTNF5	1	NA
2727	MFRP	1	NA
2728	AP000679.2	1	NA
2729	OR6T1	1	NA
2730	OR10D3	1	NA
2731	OR8G1	1	NA
2732	OR8B3	1	NA
2733	OR8B8	1	NA
2734	TBRG1	1	NA
2735	CCDC15	1	NA
2736	TIRAP	1	NA
2737	SPATA19	1	NA
2738	NCAPD3	1	NA
2739	AP003062.1	1	NA
2740	CCDC77	1	NA
2741	WNK1	1	NA
2742	CACNA2D4	1	NA
2743	FKBP4	1	NA
2744	FOXM1	1	NA
2745	RHNO1	1	NA
2746	DYRK4	1	NA
2747	GALNT8	1	NA
2748	SCNN1A	1	NA
2749	NOP2	1	NA
2750	ACRBP	1	NA
2751	COPS7A	1	NA
2752	CD4	1	NA
2753	LEPREL2	1	NA
2754	TPI1	1	NA
2755	LRRC23	1	NA
2756	PHB2	1	NA
2757	LPCAT3	1	NA
2758	C1S	1	NA
2759	APOBEC1	1	NA
2760	FAM90A1	1	NA
2761	CLEC4D	1	NA
2762	PZP	1	NA
2763	CLECL1	1	NA
2764	CLEC2A	1	NA
2765	CLEC7A	1	NA
2766	STYK1	1	NA
2767	TAS2R7	1	NA
2768	TAS2R8	1	NA
2769	TAS2R9	1	NA
2770	PRB4	1	NA
2771	PRB1	1	NA
2772	PRB2	1	NA
2773	ETV6	1	NA
2774	LOH12CR1	1	NA
2775	GPRC5A	1	NA
2776	GSG1	1	NA
2777	ART4	1	NA
2778	STRAP	1	NA
2779	SLC15A5	1	NA
2780	PLEKHA5	1	NA
2781	SLCO1C1	1	NA
2782	SLCO1B7	1	NA
2783	SLCO1A2	1	NA
2784	RECQL	1	NA
2785	GYS2	1	NA
2786	LDHB	1	NA
2787	ABCC9	1	NA
2788	CASC1	1	NA
2789	FGFR1OP2	1	NA
2790	SMCO2	1	NA
2791	REP15	1	NA
2792	OVCH1-AS1	1	NA
2793	TMTC1	1	NA
2794	IPO8	1	NA
2795	TSPAN11	1	NA
2796	METTL20	1	NA
2797	BICD1	1	NA
2798	YARS2	1	NA
2799	KIF21A	1	NA
2800	C12orf40	1	NA
2801	GXYLT1	1	NA
2802	ZCRB1	1	NA
2803	ENDOU	1	NA
2804	PFKM	1	NA
2805	LINC00935	1	NA
2806	CCDC65	1	NA
2807	PRPH	1	NA
2808	SPATS2	1	NA
2809	BCDIN3D	1	NA
2810	ASIC1	1	NA
2811	CELA1	1	NA
2812	ANKRD33	1	NA
2813	C12orf44	1	NA
2814	C12orf80	1	NA
2815	KRT83	1	NA
2816	KRT85	1	NA
2817	KRT82	1	NA
2818	KRT75	1	NA
2819	KRT76	1	NA
2820	KRT79	1	NA
2821	KRT18	1	NA
2822	ESPL1	1	NA
2823	AAAS	1	NA
2824	DCD	1	NA
2825	OR9K2	1	NA
2826	OR6C74	1	NA
2827	OR6C3	1	NA
2828	OR6C75	1	NA
2829	OR6C76	1	NA
2830	OR6C70	1	NA
2831	OR6C4	1	NA
2832	METTL7B	1	NA
2833	PMEL	1	NA
2834	CNPY2	1	NA
2835	TIMELESS	1	NA
2836	BAZ2A	1	NA
2837	RDH16	1	NA
2838	ZBTB39	1	NA
2839	STAT6	1	NA
2840	LRP1	1	NA
2841	INHBC	1	NA
2842	INHBE	1	NA
2843	ARHGAP9	1	NA
2844	MARS	1	NA
2845	DDIT3	1	NA
2846	PIP4K2C	1	NA
2847	B4GALNT1	1	NA
2848	OS9	1	NA
2849	CYP27B1	1	NA
2850	AVIL	1	NA
2851	RP11-362K2.2	1	NA
2852	C12orf56	1	NA
2853	XPOT	1	NA
2854	LLPH	1	NA
2855	NUP107	1	NA
2856	LYZ	1	NA
2857	BEST3	1	NA
2858	PTPRB	1	NA
2859	CAPS2	1	NA
2860	NAP1L1	1	NA
2861	C12orf29	1	NA
2862	CEP290	1	NA
2863	C12orf79	1	NA
2864	RP11-486A14.2	1	NA
2865	TMCC3	1	NA
2866	VEZT	1	NA
2867	USP44	1	NA
2868	CCDC38	1	NA
2869	AMDHD1	1	NA
2870	HAL	1	NA
2871	CDK17	1	NA
2872	C12orf55	1	NA
2873	APAF1	1	NA
2874	FAM71C	1	NA
2875	DEPDC4	1	NA
2876	ANO4	1	NA
2877	IGF1	1	NA
2878	C12orf73	1	NA
2879	SLC41A2	1	NA
2880	ALDH1L2	1	NA
2881	KIAA1033	1	NA
2882	APPL2	1	NA
2883	TCP11L2	1	NA
2884	POLR3B	1	NA
2885	PWP1	1	NA
2886	SELPLG	1	NA
2887	SVOP	1	NA
2888	ANAPC7	1	NA
2889	TCTN1	1	NA
2890	CCDC63	1	NA
2891	TMEM116	1	NA
2892	OAS1	1	NA
2893	OAS3	1	NA
2894	OAS2	1	NA
2895	SDSL	1	NA
2896	RBM19	1	NA
2897	MED13L	1	NA
2898	C12orf49	1	NA
2899	CCDC60	1	NA
2900	RNF10	1	NA
2901	P2RX7	1	NA
2902	KDM2B	1	NA
2903	RHOF	1	NA
2904	LRRC43	1	NA
2905	CLIP1	1	NA
2906	KNTC1	1	NA
2907	DDX55	1	NA
2908	GLT1D1	1	NA
2909	FZD10	1	NA
2910	EP400	1	NA
2911	PGAM5	1	NA
2912	ANKLE2	1	NA
2913	TPTE2	1	NA
2914	GJB6	1	NA
2915	ZDHHC20	1	NA
2916	MICU2	1	NA
2917	SPATA13	1	NA
2918	PARP4	1	NA
2919	ATP12A	1	NA
2920	RNF17	1	NA
2921	MTMR6	1	NA
2922	GPR12	1	NA
2923	GTF3A	1	NA
2924	MTIF3	1	NA
2925	TEX26	1	NA
2926	RXFP2	1	NA
2927	PDS5B	1	NA
2928	SPG20	1	NA
2929	WBP4	1	NA
2930	MTRF1	1	NA
2931	NAA16	1	NA
2932	VWA8	1	NA
2933	DGKH	1	NA
2934	CCDC122	1	NA
2935	FAM194B	1	NA
2936	KIAA0226L	1	NA
2937	MED4	1	NA
2938	MLNR	1	NA
2939	CDADC1	1	NA
2940	AL136218.1	1	NA
2941	SETDB2	1	NA
2942	PHF11	1	NA
2943	KCNRG	1	NA
2944	DHRS12	1	NA
2945	NEK5	1	NA
2946	NEK3	1	NA
2947	OLFM4	1	NA
2948	BORA	1	NA
2949	DIS3	1	NA
2950	TBC1D4	1	NA
2951	RBM26	1	NA
2952	GPR180	1	NA
2953	ABCC4	1	NA
2954	CLDN10	1	NA
2955	DNAJC3	1	NA
2956	UGGT2	1	NA
2957	CLYBL	1	NA
2958	NALCN	1	NA
2959	ERCC5	1	NA
2960	SLC10A2	1	NA
2961	CARKD	1	NA
2962	ANKRD10	1	NA
2963	ARHGEF7	1	NA
2964	RP11-65D24.2	1	NA
2965	MCF2L	1	NA
2966	PCID2	1	NA
2967	GRTP1	1	NA
2968	ADPRHL1	1	NA
2969	DCUN1D2	1	NA
2970	GRK1	1	NA
2971	OR4M1	1	NA
2972	OR4N2	1	NA
2973	OR4K1	1	NA
2974	OR4Q2	1	NA
2975	OR4L1	1	NA
2976	OR11G2	1	NA
2977	OR11H7	1	NA
2978	OR11H4	1	NA
2979	TEP1	1	NA
2980	KLHL33	1	NA
2981	RNASE9	1	NA
2982	RNASE12	1	NA
2983	RNASE2	1	NA
2984	NDRG2	1	NA
2985	RPGRIP1	1	NA
2986	METTL3	1	NA
2987	TRAV2	1	NA
2988	TRAV5	1	NA
2989	TRAV7	1	NA
2990	TRAV18	1	NA
2991	TRAV24	1	NA
2992	TRAV26-1	1	NA
2993	TRAV26-2	1	NA
