Gene	Estimate	SE	P.Wald	P.LRT	P.Score
968	GDPD4	-0.035	0.134	0.797	0.797	0.797
969	METTL8	0.073	0.282	0.797	0.797	0.797
970	ZNF813	0.158	0.615	0.798	0.797	0.798
971	ECHDC3	0.276	1.074	0.797	0.798	0.797
972	FCRL6	-0.05	0.197	0.8	0.8	0.8
973	FAM101B	0.368	1.464	0.801	0.802	0.801
974	CCT6B	0.117	0.472	0.804	0.803	0.804
975	FAM186A	-0.168	0.682	0.806	0.805	0.805
976	OR2M3	0.129	0.528	0.806	0.806	0.806
977	YME1L1	-0.191	0.799	0.811	0.811	0.811
978	IGLV3-16	0.028	0.117	0.812	0.812	0.812
979	C22orf15	0.346	1.458	0.813	0.813	0.812
980	OR2J1	-0.032	0.135	0.813	0.813	0.813
981	OTOR	0.075	0.323	0.816	0.816	0.816
982	CDKL2	-0.14	0.616	0.821	0.82	0.82
983	C17orf77	-0.037	0.163	0.822	0.822	0.822
984	GJB2	-0.138	0.616	0.822	0.822	0.822
985	MICAL2	-0.111	0.495	0.822	0.822	0.822
986	ACSM4	0.069	0.314	0.826	0.826	0.826
987	KRTAP13-2	0.027	0.123	0.827	0.827	0.827
988	SERPINA10	-0.115	0.528	0.827	0.827	0.827
989	PIK3C2G	-0.097	0.447	0.828	0.828	0.828
990	RFPL1	-0.04	0.185	0.829	0.829	0.829
991	HNRNPA1L2	-0.097	0.466	0.836	0.836	0.836
992	SYNE2	-0.051	0.25	0.838	0.837	0.838
993	ABI3BP	0.037	0.183	0.838	0.838	0.838
994	C2orf83	-0.028	0.139	0.839	0.839	0.839
995	PXDNL	-0.09	0.446	0.839	0.839	0.839
996	OR11H7	0.026	0.13	0.842	0.842	0.842
997	PRAMEF12	0.082	0.412	0.842	0.842	0.842
998	NLRP8	0.028	0.144	0.846	0.846	0.846
999	OR52B4	-0.027	0.14	0.847	0.847	0.847
1000	ABCA10	0.021	0.107	0.848	0.848	0.848
1001	C12orf44	0.06	0.313	0.849	0.849	0.849
1002	KRTAP4-8	0.065	0.343	0.849	0.849	0.849
1003	A2M	0.044	0.233	0.851	0.851	0.851
1004	OR2B11	0.023	0.122	0.853	0.853	0.853
1005	AGXT2	-0.084	0.47	0.858	0.857	0.858
1006	OR2T12	0.038	0.21	0.857	0.857	0.857
1007	PKD1L2	-0.018	0.103	0.859	0.859	0.859
1008	SLC5A9	0.034	0.194	0.86	0.86	0.86
1009	PP13004	-0.027	0.158	0.862	0.862	0.862
1010	ZNF429	-0.072	0.412	0.862	0.862	0.862
1011	OR10D3	0.022	0.126	0.864	0.864	0.864
1012	AKR1E2	-0.033	0.194	0.865	0.865	0.865
1013	CCDC57	-0.025	0.154	0.869	0.869	0.869
1014	MYCT1	0.066	0.4	0.87	0.869	0.869
1015	NIPAL2	0.022	0.132	0.869	0.869	0.869
1016	BDP1	0.237	1.442	0.869	0.87	0.869
1017	ABCB7	-0.085	0.528	0.872	0.872	0.872
1018	CDCP2	-0.019	0.117	0.873	0.873	0.873
1019	OR10J1	0.029	0.185	0.874	0.874	0.874
1020	PLSCR1	0.22	1.437	0.878	0.878	0.878
1021	REXO1L1P	0.156	1.017	0.878	0.878	0.878
1022	ZNF615	0.22	1.437	0.878	0.878	0.878
1023	REM2	0.152	1.016	0.881	0.881	0.881
1024	HTR3E	-0.035	0.241	0.883	0.883	0.883
1025	F11	0.211	1.45	0.884	0.884	0.884
1026	ZNF681	-0.024	0.168	0.885	0.885	0.885
1027	DDIT4L	-0.032	0.226	0.886	0.886	0.886
1028	BRCA1	0.202	1.435	0.888	0.888	0.888
1029	FLG	0.048	0.342	0.888	0.888	0.888
1030	C5orf20	-0.018	0.127	0.889	0.889	0.889
1031	ARSH	0.195	1.431	0.891	0.891	0.891
1032	IGLV3-22	-0.011	0.078	0.892	0.892	0.892
1033	MTBP	0.19	1.443	0.895	0.895	0.895
1034	MROH2B	0.021	0.159	0.897	0.897	0.897
1035	MUC19	-0.011	0.081	0.897	0.897	0.897
1036	ETFB	0.043	0.339	0.9	0.9	0.9
1037	WWTR1	-0.033	0.266	0.9	0.9	0.9
1038	IL12RB1	-0.02	0.163	0.902	0.902	0.902
1039	ZNF442	0.177	1.446	0.902	0.902	0.902
1040	FAM81B	-0.039	0.318	0.903	0.903	0.903
1041	FHOD3	-0.038	0.31	0.903	0.903	0.903
1042	PCDHGA8	0.03	0.247	0.904	0.904	0.904
1043	ZNF860	0.078	0.644	0.904	0.904	0.904
1044	TYW1B	-0.018	0.155	0.906	0.906	0.906
1045	ERCC8	0.169	1.452	0.907	0.907	0.907
1046	GPR32	0.084	0.717	0.907	0.907	0.907
1047	ZXDA	0.167	1.434	0.907	0.907	0.907
1048	OR51I2	0.015	0.135	0.91	0.91	0.91
1049	GLT6D1	-0.018	0.162	0.911	0.911	0.911
1050	TUBB1	0.16	1.456	0.912	0.912	0.912
1051	UGT2A1	0.04	0.358	0.912	0.912	0.912
1052	KCNH2	0.111	1.015	0.913	0.913	0.913
1053	TCEAL6	-0.018	0.167	0.913	0.913	0.913
1054	NEK1	0.155	1.436	0.914	0.914	0.914
1055	SLAMF8	0.155	1.443	0.915	0.915	0.915
1056	SLFN12L	-0.025	0.23	0.915	0.915	0.915
1057	AGAP6	0.015	0.14	0.916	0.916	0.916
1058	GJB4	0.034	0.324	0.916	0.916	0.916
1059	ZNF75D	0.087	0.84	0.917	0.917	0.917
1060	CMAHP	0.146	1.441	0.919	0.919	0.919
1061	DEFB132	0.103	1.013	0.919	0.919	0.919
1062	NIM1K	0.145	1.428	0.919	0.919	0.919
1063	CCNL2	0.033	0.324	0.92	0.92	0.92
1064	C8orf44	0.059	0.592	0.921	0.921	0.921
1065	TRRAP	0.143	1.444	0.921	0.921	0.921
1066	ANXA3	0.137	1.426	0.923	0.923	0.923
1067	CAMSAP1	0.05	0.512	0.923	0.923	0.922
1068	SULT1C2	-0.143	1.493	0.923	0.923	0.923
1069	GPR98	-0.133	1.425	0.925	0.925	0.925
1070	C7orf33	0.032	0.348	0.927	0.927	0.927
1071	CCDC7	0.019	0.207	0.927	0.927	0.927
1072	MAGEC3	0.125	1.425	0.93	0.93	0.93
1073	CEBPZ	-0.123	1.425	0.931	0.931	0.931
1074	CRYBA2	0.123	1.427	0.931	0.931	0.931
1075	ZSWIM2	0.124	1.428	0.931	0.931	0.931
1076	FETUB	0.123	1.434	0.932	0.932	0.932
1077	CNKSR1	-0.026	0.305	0.933	0.933	0.933
1078	NXPE2	0.119	1.424	0.933	0.933	0.933
1079	C2CD2	-0.125	1.508	0.934	0.934	0.934
1080	HRCT1	-0.124	1.489	0.934	0.934	0.933
1081	KIAA1841	-0.018	0.224	0.934	0.934	0.934
1082	PYGL	0.011	0.136	0.934	0.934	0.934
1083	SKOR1	-0.083	1.012	0.934	0.934	0.934
1084	ZNF534	0.084	1.014	0.934	0.934	0.934
1085	CCDC153	0.114	1.423	0.936	0.936	0.936
1086	NDUFAF2	0.114	1.431	0.936	0.936	0.936
1087	PEBP4	0.012	0.15	0.936	0.936	0.936
1088	ZNF594	0.112	1.425	0.937	0.937	0.937
1089	NOC2L	0.109	1.431	0.939	0.939	0.939
1090	PASK	0.109	1.427	0.939	0.939	0.939
1091	TRIM77	0.063	0.829	0.939	0.939	0.939
1092	TRPM2	0.079	1.021	0.939	0.939	0.939
1093	LIMK1	-0.108	1.424	0.94	0.94	0.94
1094	NLRP9	0.108	1.43	0.94	0.94	0.94
1095	SPHK1	0.107	1.426	0.94	0.94	0.94
1096	UTP14C	0.076	1.01	0.94	0.94	0.94
1097	OR52I2	0.075	1.01	0.941	0.941	0.941
1098	AC004381.6	0.105	1.43	0.942	0.942	0.942
1099	DHRS9	0.103	1.42	0.942	0.942	0.942
1100	LMBRD1	0.099	1.425	0.944	0.944	0.944
1101	RRP15	0.045	0.643	0.944	0.944	0.944
1102	TRDJ4	0.1	1.425	0.944	0.944	0.944
1103	ANXA5	0.098	1.425	0.945	0.945	0.945
1104	CCDC146	0.099	1.428	0.945	0.945	0.945
1105	CHIT1	-0.07	1.012	0.945	0.945	0.945
1106	PLA2G3	0.098	1.425	0.945	0.945	0.945
1107	TMC2	-0.05	0.718	0.945	0.945	0.945
1108	ECD	-0.096	1.423	0.946	0.946	0.946
1109	OR2A1	-0.097	1.423	0.946	0.946	0.946
1110	RASEF	0.097	1.421	0.946	0.946	0.946
1111	SIGLEC5	0.068	1.012	0.946	0.946	0.946
1112	TMCO4	-0.068	1.008	0.946	0.946	0.946
1113	UGT1A10	0.097	1.424	0.946	0.946	0.946
1114	GCSAML	-0.017	0.251	0.947	0.947	0.947
1115	MPZL2	0.089	1.426	0.95	0.95	0.95
1116	RIMS1	0.089	1.424	0.95	0.95	0.95
1117	TRAP1	-0.09	1.433	0.95	0.95	0.95
1118	ELAVL3	0.062	1.012	0.951	0.951	0.951
1119	ADH1A	0.087	1.436	0.952	0.952	0.952
1120	C14orf166B	0.087	1.436	0.952	0.952	0.952
1121	CCDC58	0.086	1.428	0.952	0.952	0.952
1122	B3GALTL	0.084	1.423	0.953	0.953	0.953
1123	KIAA1551	-0.084	1.425	0.953	0.953	0.953
1124	MS4A2	-0.06	1.009	0.953	0.953	0.953
1125	PCNXL4	0.084	1.422	0.953	0.953	0.953
1126	UEVLD	-0.089	1.522	0.953	0.953	0.953
1127	MSH4	0.082	1.424	0.954	0.954	0.954
1128	LIG3	-0.081	1.425	0.955	0.955	0.955
1129	LINC00935	0.033	0.588	0.955	0.955	0.955
1130	MBP	0.081	1.424	0.955	0.955	0.955
1131	ZNF461	-0.08	1.421	0.955	0.955	0.955
1132	GBA3	-0.008	0.141	0.956	0.956	0.956
1133	MAP3K6	-0.079	1.423	0.956	0.956	0.956
1134	MGME1	-0.078	1.423	0.956	0.956	0.956
1135	ALDH3B1	0.005	0.102	0.957	0.957	0.957
1136	ATP2C2	-0.044	0.828	0.957	0.957	0.957
1137	CD109	0.054	1.007	0.957	0.957	0.957
1138	CHRNA6	0.077	1.422	0.957	0.957	0.957
1139	MYH1	0.077	1.422	0.957	0.957	0.957
1140	SLFN13	-0.012	0.222	0.957	0.957	0.957
1141	ZNF547	-0.077	1.441	0.957	0.957	0.957
1142	DIS3	-0.075	1.43	0.958	0.958	0.958
1143	PRDM7	-0.075	1.423	0.958	0.958	0.958
1144	TAS2R8	0.027	0.51	0.958	0.958	0.958
1145	ZNF776	0.076	1.425	0.958	0.958	0.958
1146	CEP192	-0.037	0.716	0.959	0.959	0.959
1147	SLC38A3	-0.008	0.152	0.959	0.959	0.959
1148	CD36	0.071	1.425	0.96	0.96	0.96
1149	DMGDH	0.05	1.008	0.96	0.96	0.96
1150	ITFG3	-0.072	1.423	0.96	0.96	0.96
1151	ABCC12	0.017	0.351	0.961	0.961	0.961
1152	FARSB	-0.07	1.425	0.961	0.961	0.961
1153	CASC5	-0.068	1.421	0.962	0.962	0.962
1154	IGIP	0.069	1.42	0.962	0.962	0.961
1155	ITSN2	-0.047	1.007	0.962	0.962	0.962
1156	AC073343.1	-0.01	0.22	0.963	0.963	0.963
1157	C1QA	0.066	1.421	0.963	0.963	0.963
1158	CAMK1	0.066	1.428	0.963	0.963	0.963
1159	GBAS	-0.067	1.426	0.963	0.963	0.963
1160	HAUS3	-0.066	1.43	0.963	0.963	0.963
1161	MRPS15	0.065	1.42	0.963	0.963	0.963
1162	SLC25A24	0.066	1.426	0.963	0.963	0.963
1163	UBQLN3	-0.065	1.427	0.963	0.963	0.963
1164	MOB3C	-0.006	0.128	0.964	0.964	0.964
1165	RP11-10J21.3	0.037	0.825	0.964	0.964	0.964
1166	UNC93B1	-0.004	0.097	0.964	0.964	0.964
1167	ZNF138	0.033	0.713	0.964	0.964	0.964
1168	CYP4F12	0.063	1.428	0.965	0.965	0.965
1169	SERPINA9	0.045	1.009	0.965	0.965	0.965
1170	SLC17A4	0.021	0.482	0.965	0.965	0.965
1171	ATP7B	0.061	1.423	0.966	0.966	0.966
1172	IQGAP3	0.043	1.008	0.966	0.966	0.966
1173	ZNF546	-0.043	1.008	0.966	0.966	0.966
1174	ACOT11	0.059	1.42	0.967	0.967	0.967
1175	FCRL2	-0.059	1.425	0.967	0.967	0.967
1176	L1TD1	-0.02	0.485	0.967	0.967	0.967
1177	OBSCN	0.035	0.838	0.967	0.967	0.967
1178	SCGN	-0.06	1.45	0.967	0.967	0.967
1179	SFXN4	-0.058	1.422	0.967	0.967	0.967
1180	TRAJ37	-0.021	0.505	0.967	0.967	0.967
1181	GSR	-0.057	1.422	0.968	0.968	0.968
1182	MUC17	0.057	1.428	0.968	0.968	0.968
1183	OR52N1	0.011	0.282	0.968	0.968	0.968
1184	PNLDC1	0.057	1.429	0.968	0.968	0.968
1185	TMEM144	0.041	1.008	0.968	0.968	0.968
1186	TMPRSS9	-0.057	1.422	0.968	0.968	0.968
1187	ZNF227	0.058	1.438	0.968	0.968	0.968
1188	CASP5	0.056	1.431	0.969	0.969	0.969
1189	SGSH	0.056	1.428	0.969	0.969	0.969
1190	CLCA4	0.038	1.008	0.97	0.97	0.97
1191	DLEC1	-0.053	1.421	0.97	0.97	0.97
1192	KCNV2	-0.054	1.42	0.97	0.97	0.97
1193	LILRA5	-0.054	1.419	0.97	0.97	0.97
1194	PLB1	0.038	1.008	0.97	0.97	0.97
1195	RYR1	0.054	1.423	0.97	0.97	0.97
1196	TPTE2	0.053	1.419	0.97	0.97	0.97
1197	TRIM63	0.054	1.421	0.97	0.97	0.97
1198	ZNF226	0.054	1.422	0.97	0.97	0.97
1199	ZNF587	0.054	1.424	0.97	0.97	0.97
1200	ACSM1	0.052	1.426	0.971	0.971	0.971
1201	BTN2A3P	-0.052	1.42	0.971	0.971	0.971
1202	CMYA5	0.052	1.419	0.971	0.971	0.971
1203	ERCC6	0.052	1.423	0.971	0.971	0.971
1204	ESF1	-0.051	1.421	0.971	0.971	0.971
1205	ESPL1	-0.051	1.42	0.971	0.971	0.971
1206	FYCO1	-0.052	1.42	0.971	0.971	0.971
1207	PSMC6	0.052	1.422	0.971	0.971	0.971
1208	REXO4	-0.052	1.419	0.971	0.971	0.971
1209	RPF2	0.036	1.005	0.971	0.971	0.971
1210	SLC22A5	-0.052	1.42	0.971	0.971	0.971
1211	ZNF727	0.018	0.51	0.971	0.971	0.971
1212	ZNF749	-0.018	0.508	0.971	0.971	0.971
1213	CCDC121	0.021	0.586	0.972	0.972	0.972
1214	LARP1B	-0.051	1.426	0.972	0.972	0.972
1215	MN1	0.049	1.422	0.972	0.972	0.972
1216	MROH8	-0.049	1.419	0.972	0.972	0.972
1217	MTIF2	0.049	1.42	0.972	0.972	0.972
1218	PSTPIP1	-0.05	1.42	0.972	0.972	0.972
1219	RETSAT	0.035	1.005	0.972	0.972	0.972
1220	SERPINB3	0.025	0.711	0.972	0.972	0.972
1221	SPEF2	-0.05	1.42	0.972	0.972	0.972
1222	TMEM54	-0.05	1.429	0.972	0.972	0.972
1223	TRGV11	0.008	0.23	0.972	0.972	0.972
1224	TXNRD3NB	-0.05	1.421	0.972	0.972	0.972
1225	ZNF28	0.025	0.722	0.972	0.972	0.972
1226	ABCA13	0.047	1.418	0.973	0.973	0.973
1227	C14orf183	0.047	1.422	0.973	0.973	0.973
1228	IFI44L	0.028	0.824	0.973	0.973	0.973
1229	LRIT2	-0.05	1.484	0.973	0.973	0.973
1230	PSKH2	-0.048	1.42	0.973	0.973	0.973
1231	AGR3	-0.047	1.419	0.974	0.974	0.974
1232	ALDH8A1	0.047	1.42	0.974	0.974	0.974
1233	CNTNAP4	0.016	0.504	0.974	0.974	0.974
1234	PON2	-0.046	1.42	0.974	0.974	0.974
1235	TRBV6-8	-0.046	1.42	0.974	0.974	0.974
1236	GOSR1	0.045	1.423	0.975	0.975	0.975
1237	GPR113	0.031	1.006	0.975	0.975	0.975
1238	NCAM1	-0.007	0.24	0.975	0.975	0.975
1239	NUP62CL	0.045	1.418	0.975	0.975	0.975
1240	RNPC3	-0.044	1.419	0.975	0.975	0.975
1241	ASCC1	-0.019	0.641	0.976	0.976	0.976
1242	CCDC87	-0.043	1.419	0.976	0.976	0.976
1243	FANK1	-0.043	1.419	0.976	0.976	0.976
1244	FBN3	-0.043	1.422	0.976	0.976	0.976
1245	PRRC2C	-0.024	0.823	0.976	0.976	0.976
1246	ABCA8	-0.029	1.01	0.977	0.977	0.977
1247	CAPS2	0.024	0.824	0.977	0.977	0.977
1248	CEP89	-0.011	0.373	0.977	0.977	0.977
1249	CHD1L	0.041	1.427	0.977	0.977	0.977
1250	CXorf22	-0.029	1.006	0.977	0.977	0.977
1251	KLF17	-0.041	1.421	0.977	0.977	0.977
1252	KRTAP1-1	-0.041	1.422	0.977	0.977	0.977
1253	LRWD1	-0.041	1.418	0.977	0.977	0.977
1254	OR7C2	0.041	1.424	0.977	0.977	0.977
1255	PEX12	-0.041	1.431	0.977	0.977	0.977
1256	SFXN2	0.029	1.005	0.977	0.977	0.977
1257	SMCO1	0.041	1.425	0.977	0.977	0.977
1258	SPANXN4	0.01	0.348	0.977	0.977	0.977
1259	STARD4	0.041	1.419	0.977	0.977	0.977
1260	TRBV6-6	0.041	1.418	0.977	0.977	0.977
1261	CCDC102B	0.038	1.421	0.978	0.978	0.978
1262	GZMA	0.039	1.418	0.978	0.978	0.978
1263	HSF2BP	0.04	1.42	0.978	0.978	0.978
1264	INADL	-0.039	1.435	0.978	0.978	0.978
1265	KIAA1614	-0.039	1.42	0.978	0.978	0.978
1266	LIPT1	0.039	1.42	0.978	0.978	0.978
1267	MPDZ	0.04	1.43	0.978	0.978	0.978
1268	MS4A18	0.039	1.418	0.978	0.978	0.978
1269	NHSL1	0.04	1.423	0.978	0.978	0.978
1270	OR6F1	-0.039	1.428	0.978	0.978	0.978
1271	OR8J3	0.039	1.418	0.978	0.978	0.978
1272	XIRP1	-0.038	1.423	0.978	0.978	0.978
1273	CELSR1	-0.027	1.007	0.979	0.979	0.979
1274	DDX58	0.037	1.424	0.979	0.979	0.979
1275	FAM211B	0.038	1.418	0.979	0.979	0.979
1276	KIRREL2	-0.026	1.007	0.979	0.979	0.979
1277	OR2G6	0.037	1.42	0.979	0.979	0.979
1278	OR6K2	0.013	0.505	0.979	0.979	0.979
1279	RSL1D1	0.037	1.437	0.979	0.979	0.979
1280	TIAM2	0.037	1.421	0.979	0.979	0.979
1281	XRCC1	0.038	1.428	0.979	0.979	0.979
1282	CAPN2	0.021	0.824	0.98	0.98	0.98
1283	FAM117B	-0.036	1.418	0.98	0.98	0.98
1284	GTF2IRD2	-0.036	1.423	0.98	0.98	0.98
1285	KATNA1	0.036	1.424	0.98	0.98	0.98
1286	KRT222	-0.037	1.423	0.98	0.98	0.98
1287	KRTAP27-1	0.025	1.014	0.98	0.98	0.98
1288	LONP2	-0.035	1.421	0.98	0.98	0.98
1289	PSORS1C1	-0.036	1.42	0.98	0.98	0.98
1290	TP53AIP1	-0.026	1.006	0.98	0.98	0.98
1291	ZFP69	-0.036	1.426	0.98	0.98	0.98
1292	AC009365.3	-0.024	1.005	0.981	0.981	0.981
1293	ALPK2	-0.02	0.823	0.981	0.981	0.981
1294	EME1	-0.034	1.423	0.981	0.981	0.981
1295	GBP7	0.033	1.421	0.981	0.981	0.981
1296	MICAL1	-0.033	1.419	0.981	0.981	0.981
1297	PRIMPOL	0.035	1.419	0.981	0.981	0.981
1298	SLC16A4	-0.035	1.419	0.981	0.981	0.981
1299	CLDN17	-0.031	1.42	0.982	0.982	0.982
1300	CTC-490E21.13	-0.032	1.421	0.982	0.982	0.982
1301	EIF2AK4	-0.032	1.42	0.982	0.982	0.982
1302	MRPL47	-0.031	1.418	0.982	0.982	0.982
1303	TPRN	0.033	1.428	0.982	0.982	0.982
1304	C10orf128	-0.018	0.824	0.983	0.983	0.983
1305	CCDC113	-0.031	1.428	0.983	0.983	0.983
1306	COL4A3	0.03	1.423	0.983	0.983	0.983
1307	GEN1	-0.005	0.225	0.983	0.983	0.983
1308	GRAMD1A	0.03	1.419	0.983	0.983	0.983
1309	NUP214	-0.031	1.426	0.983	0.983	0.983
1310	SYTL3	-0.018	0.823	0.983	0.983	0.983
1311	ZNF569	0.03	1.419	0.983	0.983	0.983
1312	ZNF714	-0.03	1.423	0.983	0.983	0.983
1313	ZNF83	-0.031	1.422	0.983	0.983	0.983
1314	BANK1	-0.029	1.423	0.984	0.984	0.984
1315	C18orf21	-0.028	1.42	0.984	0.984	0.984
1316	CEP128	-0.029	1.42	0.984	0.984	0.984
1317	FHAD1	-0.029	1.421	0.984	0.984	0.984
1318	GPR150	-0.029	1.418	0.984	0.984	0.984
1319	HIVEP3	-0.029	1.418	0.984	0.984	0.984
1320	MX1	0.028	1.422	0.984	0.984	0.984
1321	OLFML3	-0.029	1.423	0.984	0.984	0.984
1322	RAD51D	0.029	1.419	0.984	0.984	0.984
1323	TBX10	-0.028	1.419	0.984	0.984	0.984
1324	WFDC2	-0.029	1.419	0.984	0.984	0.984
1325	ZNF440	0.02	1.007	0.984	0.984	0.984
1326	CHMP4A	-0.026	1.421	0.985	0.985	0.985
1327	DPPA4	0.012	0.641	0.985	0.985	0.985
1328	KDELC2	0.026	1.418	0.985	0.985	0.985
1329	OXGR1	-0.027	1.5	0.985	0.985	0.985
1330	PRAMEF11	0.027	1.419	0.985	0.985	0.985
1331	RAD51AP2	-0.015	0.823	0.985	0.985	0.985
1332	SDR39U1	0.018	1.007	0.985	0.985	0.985
1333	COX15	-0.025	1.42	0.986	0.986	0.986
1334	EXOC3L1	-0.018	1.013	0.986	0.986	0.986
1335	MTMR11	-0.018	1.013	0.986	0.986	0.986
1336	C11orf63	-0.023	1.421	0.987	0.987	0.987
1337	CCDC74B	-0.023	1.445	0.987	0.987	0.987
1338	KALRN	0.022	1.422	0.987	0.987	0.987
1339	MMP27	-0.023	1.42	0.987	0.987	0.987
1340	OR4D10	0.014	0.826	0.987	0.987	0.987
1341	PCDHA3	0.012	0.714	0.987	0.987	0.987
1342	PLEKHA1	0.023	1.42	0.987	0.987	0.987
1343	SUZ12	0.022	1.418	0.987	0.987	0.987
1344	TRPV4	0.023	1.418	0.987	0.987	0.987
1345	ZNF790	0.024	1.434	0.987	0.987	0.987
1346	AC002472.13	-0.021	1.42	0.988	0.988	0.988
1347	BOD1L1	-0.022	1.419	0.988	0.988	0.988
1348	GLB1L3	0.021	1.418	0.988	0.988	0.988
1349	NIT1	-0.021	1.419	0.988	0.988	0.988
1350	OR4M1	0.021	1.42	0.988	0.988	0.988
1351	SETD6	0.021	1.424	0.988	0.988	0.988
1352	SLC27A6	0.021	1.418	0.988	0.988	0.988
1353	TMEM232	0.016	1.048	0.988	0.988	0.988
1354	ADH1C	-0.003	0.22	0.989	0.989	0.989
1355	FCHSD1	-0.019	1.421	0.989	0.989	0.989
1356	NEBL	-0.02	1.419	0.989	0.989	0.989
1357	OR5T3	-0.02	1.421	0.989	0.989	0.989
1358	S100A3	-0.009	0.641	0.989	0.989	0.989
1359	ZNF16	-0.019	1.419	0.989	0.989	0.989
1360	ZNF677	0.013	1.007	0.989	0.989	0.989
1361	HABP2	-0.017	1.418	0.99	0.99	0.99
1362	KCNJ16	0.018	1.419	0.99	0.99	0.99
1363	LMAN1L	0.01	0.827	0.99	0.99	0.99
1364	NOD2	-0.006	0.459	0.99	0.99	0.99
1365	PTPLAD2	-0.017	1.42	0.99	0.99	0.99
1366	TCHH	-0.018	1.42	0.99	0.99	0.99
1367	WRAP53	-0.018	1.421	0.99	0.99	0.99
1368	ZNF318	-0.018	1.419	0.99	0.99	0.99
1369	DNHD1	-0.008	0.642	0.991	0.991	0.991
1370	HIST1H2BE	0.016	1.418	0.991	0.991	0.991
1371	PCDHB11	0.009	0.822	0.991	0.991	0.991
1372	PGAP1	-0.017	1.457	0.991	0.991	0.991
1373	PTPRH	-0.016	1.42	0.991	0.991	0.991
1374	SLC11A2	0.015	1.429	0.991	0.991	0.991
1375	TPP1	-0.016	1.419	0.991	0.991	0.991
1376	ADAMTS7	-0.014	1.42	0.992	0.992	0.992
1377	CD1B	0.014	1.418	0.992	0.992	0.992
1378	DHCR7	0.014	1.42	0.992	0.992	0.992
1379	GRAMD3	0.015	1.419	0.992	0.992	0.992
1380	LCN6	-0.015	1.419	0.992	0.992	0.992
1381	QPCT	-0.015	1.423	0.992	0.992	0.992
1382	SLC30A6	0.006	0.643	0.992	0.992	0.992
1383	TOM1L1	0.014	1.423	0.992	0.992	0.992
1384	C10orf71	-0.013	1.418	0.993	0.993	0.993
1385	C4orf40	-0.005	0.584	0.993	0.993	0.993
1386	CPXM1	-0.013	1.418	0.993	0.993	0.993
1387	ERCC3	0.012	1.425	0.993	0.993	0.993
1388	PLA1A	-0.013	1.418	0.993	0.993	0.993
1389	PON3	0.012	1.42	0.993	0.993	0.993
1390	PRKRA	0.009	1.011	0.993	0.993	0.993
1391	SERPINA3	-0.013	1.422	0.993	0.993	0.993
1392	UPK3A	-0.008	1.007	0.993	0.993	0.993
1393	ZNF555	0.012	1.418	0.993	0.993	0.993
1394	ASTE1	0.01	1.423	0.994	0.994	0.994
1395	CCDC63	0.01	1.423	0.994	0.994	0.994
1396	CEP112	-0.01	1.42	0.994	0.994	0.994
1397	CTAGE6	-0.003	0.42	0.994	0.994	0.994
1398	ECHDC2	-0.006	0.823	0.994	0.994	0.994
1399	KRTAP24-1	-0.007	1.006	0.994	0.994	0.994
1400	OGFOD3	0.007	1.007	0.994	0.994	0.994
1401	RNPEP	-0.011	1.419	0.994	0.994	0.994
1402	ZNF568	0.001	0.127	0.994	0.994	0.994
1403	CARD9	-0.009	1.427	0.995	0.995	0.995
1404	CLK4	-0.008	1.424	0.995	0.995	0.995
1405	EFHB	-0.01	1.419	0.995	0.995	0.995
1406	MARS	0.004	0.64	0.995	0.995	0.995
1407	MMAA	0.009	1.419	0.995	0.995	0.995
1408	MYBPHL	0.006	1.005	0.995	0.995	0.995
1409	RHNO1	0.01	1.42	0.995	0.995	0.995
1410	WNT10A	0.009	1.42	0.995	0.995	0.995
1411	AHI1	-0.008	1.423	0.996	0.996	0.996
1412	AZU1	0.005	1.009	0.996	0.996	0.996
1413	GRAMD2	-0.004	1.009	0.996	0.996	0.996
1414	IGHG4	-0.007	1.42	0.996	0.996	0.996
1415	MSS51	-0.007	1.42	0.996	0.996	0.996
1416	MTFR2	0.007	1.419	0.996	0.996	0.996
1417	NUGGC	-0.007	1.422	0.996	0.996	0.996
1418	POLM	-0.008	1.423	0.996	0.996	0.996
1419	ZNF211	0.001	0.127	0.996	0.996	0.996
1420	ARHGEF37	-0.003	0.717	0.997	0.997	0.997
1421	BAZ2A	-0.005	1.418	0.997	0.997	0.997
1422	C1QTNF5	0.006	1.431	0.997	0.997	0.997
1423	CXCL6	-0.003	0.714	0.997	0.997	0.997
1424	ERAP2	0.005	1.419	0.997	0.997	0.997
1425	GIMAP5	-0.004	1.42	0.997	0.997	0.997
1426	GINS4	-0.006	1.418	0.997	0.997	0.997
1427	GPR123	0.005	1.42	0.997	0.997	0.997
1428	TTC6	0.006	1.424	0.997	0.997	0.997
1429	ANKRD18B	0.003	1.422	0.998	0.998	0.998
1430	C11orf54	-0.004	1.428	0.998	0.998	0.998
1431	C2orf70	-0.003	1.42	0.998	0.998	0.998
1432	CASC1	-0.003	1.433	0.998	0.998	0.998
1433	LAMB3	0.004	1.422	0.998	0.998	0.998
1434	MUC16	-0.003	1.421	0.998	0.998	0.998
1435	PTGR1	0.004	1.417	0.998	0.998	0.998
1436	ROPN1L	-0.003	1.423	0.998	0.998	0.998
1437	DCLRE1A	-0.002	0.823	0.999	0.999	0.999
1438	MAP3K15	0.001	0.641	0.999	0.999	0.999
1439	NINL	0.002	1.421	0.999	0.999	0.999
1440	PDE6A	-0.002	1.419	0.999	0.999	0.999
